@relation pole_swing_up

@attribute sin_theta numeric
@attribute cos_theta numeric
@attribute theta_d numeric
@attribute force {NONE,RIGHT,LEFT}
@attribute class numeric

@data
0.0,-1.0,0.0,LEFT,-0.001
-0.025,-1.0,0.489,LEFT,-0.035
-0.096,-0.995,0.927,LEFT,-0.115
-0.205,-0.979,1.271,LEFT,-0.231
-0.34,-0.941,1.491,LEFT,-0.367
-0.48,-0.877,1.574,LEFT,-0.507
-0.61,-0.792,1.523,LEFT,-0.634
-0.718,-0.696,1.355,LEFT,-0.736
-0.798,-0.602,1.097,LEFT,-0.811
-0.851,-0.525,0.778,LEFT,-0.859
-0.881,-0.473,0.421,LEFT,-0.885
-0.892,-0.451,0.048,LEFT,-0.892
-0.886,-0.464,-0.323,LEFT,-0.883
-0.862,-0.507,-0.676,LEFT,-0.854
-0.827,-0.562,-0.932,NONE,-0.815
-0.801,-0.598,-1.248,LEFT,-0.786
-0.712,-0.702,-1.478,LEFT,-0.691
-0.595,-0.804,-1.606,LEFT,-0.569
-0.459,-0.889,-1.607,LEFT,-0.43
-0.315,-0.949,-1.47,LEFT,-0.288
-0.186,-0.983,-1.201,LEFT,-0.162
-0.084,-0.996,-0.82,LEFT,-0.069
-0.025,-1.0,-0.364,LEFT,-0.019
-0.013,-1.0,0.123,LEFT,-0.016
-0.049,-0.999,0.593,LEFT,-0.062
-0.129,-0.992,1.001,LEFT,-0.15
-0.243,-0.97,1.309,LEFT,-0.269
-0.377,-0.926,1.491,LEFT,-0.405
-0.514,-0.858,1.539,LEFT,-0.54
-0.637,-0.771,1.459,LEFT,-0.659
-0.736,-0.677,1.27,LEFT,-0.753
-0.808,-0.589,0.999,LEFT,-0.82
-0.855,-0.519,0.674,LEFT,-0.862
-0.867,-0.498,0.533,LEFT,-0.872
-0.885,-0.466,0.17,LEFT,-0.886
-0.886,-0.465,0.096,LEFT,-0.886
-0.881,-0.473,-0.27,LEFT,-0.879
-0.86,-0.511,-0.62,LEFT,-0.853
-0.817,-0.576,-0.936,LEFT,-0.806
-0.75,-0.661,-1.195,LEFT,-0.734
-0.659,-0.752,-1.375,LEFT,-0.638
-0.546,-0.838,-1.453,LEFT,-0.521
-0.42,-0.907,-1.412,LEFT,-0.394
-0.295,-0.955,-1.248,LEFT,-0.271
-0.186,-0.982,-0.971,LEFT,-0.168
-0.107,-0.994,-0.604,LEFT,-0.097
-0.069,-0.998,-0.183,LEFT,-0.066
-0.072,-0.997,0.252,LEFT,-0.078
-0.117,-0.993,0.658,LEFT,-0.131
-0.2,-0.98,0.996,LEFT,-0.22
-0.262,-0.965,1.154,RIGHT,-0.283
-0.335,-0.942,0.347,RIGHT,-0.34
-0.328,-0.945,-0.483,RIGHT,-0.318
-0.244,-0.97,-1.261,RIGHT,-0.218
-0.086,-0.996,-1.913,RIGHT,-0.047
0.129,-0.992,-2.374,RIGHT,0.177
0.371,-0.928,-2.604,RIGHT,0.419
0.599,-0.801,-2.6,RIGHT,0.64
0.779,-0.627,-2.394,RIGHT,0.808
0.899,-0.439,-2.045,RIGHT,0.915
0.963,-0.268,-1.61,RIGHT,0.971
0.991,-0.133,-1.136,RIGHT,0.994
0.999,-0.044,-0.651,RIGHT,0.999
1.0,-0.003,-0.167,RIGHT,1.0
1.0,-0.01,0.312,RIGHT,1.0
0.998,-0.065,0.786,RIGHT,0.997
0.997,-0.082,0.879,LEFT,0.995
0.971,-0.241,2.331,LEFT,0.958
0.855,-0.519,3.707,LEFT,0.812
0.559,-0.829,4.874,LEFT,0.474
0.064,-0.998,5.639,LEFT,-0.05
-0.494,-0.87,5.866,LEFT,-0.592
-0.888,-0.459,5.611,LEFT,-0.934
-0.998,0.059,5.109,LEFT,-0.987
-0.855,0.518,4.635,LEFT,-0.804
-0.546,0.838,4.394,LEFT,-0.47
-0.47,0.883,4.385,RIGHT,-0.392
-0.094,0.996,3.572,RIGHT,-0.024
0.235,0.972,3.113,RIGHT,0.295
0.512,0.859,2.953,RIGHT,0.562
0.742,0.67,3.042,RIGHT,0.782
0.914,0.406,3.327,RIGHT,0.939
0.998,0.065,3.738,RIGHT,1.0
0.946,-0.324,4.164,RIGHT,0.915
0.723,-0.691,4.452,RIGHT,0.658
0.352,-0.936,4.443,RIGHT,0.268
-0.068,-0.998,4.038,RIGHT,-0.147
-0.422,-0.907,3.253,RIGHT,-0.478
-0.478,-0.878,3.058,LEFT,-0.531
-0.718,-0.696,2.937,LEFT,-0.757
-0.882,-0.472,2.619,LEFT,-0.905
-0.969,-0.249,2.183,LEFT,-0.978
-0.998,-0.056,1.696,LEFT,-1.0
-0.996,0.088,1.202,LEFT,-0.994
-0.983,0.183,0.723,LEFT,-0.981
-0.973,0.231,0.26,LEFT,-0.972
-0.972,0.235,-0.193,LEFT,-0.973
-0.981,0.194,-0.645,LEFT,-0.984
-0.994,0.108,-1.104,LEFT,-0.996
-1.0,-0.026,-1.569,LEFT,-0.998
-0.979,-0.205,-2.024,LEFT,-0.97
-0.909,-0.416,-2.431,LEFT,-0.888
-0.772,-0.636,-2.735,LEFT,-0.736
-0.655,-0.755,-2.839,LEFT,-0.611
-0.467,-0.884,-2.858,NONE,-0.414
-0.182,-0.983,-3.15,NONE,-0.119
0.134,-0.991,-3.141,NONE,0.196
0.422,-0.907,-2.834,NONE,0.472
0.639,-0.769,-2.282,NONE,0.672
0.775,-0.632,-1.564,NONE,0.793
0.843,-0.538,-0.754,NONE,0.85
0.861,-0.509,0.087,NONE,0.859
0.834,-0.552,0.916,NONE,0.823
0.754,-0.657,1.686,NONE,0.731
0.607,-0.795,2.34,NONE,0.568
0.527,-0.85,2.552,NONE,0.482
0.275,-0.961,2.923,NONE,0.218
-0.021,-1.0,3.019,NONE,-0.081
-0.31,-0.951,2.825,NONE,-0.363
-0.546,-0.838,2.374,NONE,-0.584
-0.706,-0.708,1.733,NONE,-0.729
-0.795,-0.606,0.979,NONE,-0.806
-0.829,-0.559,0.173,NONE,-0.83
-0.816,-0.578,-0.635,NONE,-0.808
-0.753,-0.658,-1.398,NONE,-0.733
-0.628,-0.778,-2.062,NONE,-0.594
-0.431,-0.902,-2.563,NONE,-0.383
-0.173,-0.985,-2.836,NONE,-0.116
0.112,-0.994,-2.837,NONE,0.168
0.223,-0.975,-2.76,RIGHT,0.277
0.487,-0.873,-2.882,RIGHT,0.537
0.673,-0.74,-2.802,LEFT,0.711
0.817,-0.577,-1.541,LEFT,0.833
0.864,-0.504,-0.202,LEFT,0.865
0.84,-0.543,1.134,LEFT,0.825
0.73,-0.683,2.393,LEFT,0.695
0.5,-0.866,3.478,LEFT,0.437
0.294,-0.956,3.991,LEFT,0.216
-0.131,-0.991,4.534,LEFT,-0.221
-0.559,-0.829,4.644,LEFT,-0.634
-0.866,-0.5,4.386,LEFT,-0.906
-0.994,-0.107,3.918,LEFT,-1.0
-0.967,0.256,3.41,LEFT,-0.947
-0.838,0.546,2.988,LEFT,-0.804
-0.65,0.76,2.727,LEFT,-0.609
-0.426,0.905,2.67,LEFT,-0.377
-0.166,0.986,2.849,LEFT,-0.109
0.138,0.99,3.301,LEFT,0.204
0.483,0.876,4.067,LEFT,0.554
0.821,0.571,5.164,LEFT,0.877
1.0,0.025,6.521,LEFT,0.994
0.767,-0.641,7.858,LEFT,0.656
0.041,-0.999,8.701,LEFT,-0.134
-0.743,-0.669,8.745,LEFT,-0.848
-0.999,-0.047,8.365,LEFT,-0.993
-0.722,0.692,7.892,LEFT,-0.605
-0.022,1.0,7.929,LEFT,0.137
0.72,0.694,8.703,LEFT,0.83
0.986,-0.165,10.009,LEFT,0.933
0.336,-0.942,11.125,LEFT,0.118
-0.709,-0.706,11.308,LEFT,-0.849
-0.948,0.318,10.79,LEFT,-0.858
-0.184,0.983,10.572,LEFT,0.027
0.783,0.622,11.285,LEFT,0.904
0.867,-0.499,12.585,LEFT,0.714
0.714,-0.701,12.815,LEFT,0.511
-0.498,-0.867,13.311,LEFT,-0.709
-0.966,0.259,12.837,LEFT,-0.869
-0.043,0.999,12.639,LEFT,0.209
0.951,0.309,13.524,LEFT,0.999
0.0,-1.0,0.0,RIGHT,0.001
0.025,-1.0,-0.489,RIGHT,0.035
0.096,-0.995,-0.927,RIGHT,0.115
0.205,-0.979,-1.271,RIGHT,0.231
0.34,-0.941,-1.491,RIGHT,0.367
0.48,-0.877,-1.574,RIGHT,0.507
0.61,-0.792,-1.523,RIGHT,0.634
0.718,-0.696,-1.355,RIGHT,0.736
0.798,-0.602,-1.097,RIGHT,0.811
0.851,-0.525,-0.778,RIGHT,0.859
0.881,-0.473,-0.421,RIGHT,0.885
0.892,-0.451,-0.048,RIGHT,0.892
0.886,-0.464,0.323,RIGHT,0.883
0.862,-0.507,0.676,RIGHT,0.854
0.816,-0.578,0.992,RIGHT,0.804
0.746,-0.666,1.248,RIGHT,0.729
0.65,-0.76,1.42,RIGHT,0.628
0.533,-0.846,1.487,RIGHT,0.507
0.403,-0.915,1.431,RIGHT,0.377
0.326,-0.946,1.336,LEFT,0.298
0.159,-0.987,2.063,LEFT,0.117
-0.075,-0.997,2.585,LEFT,-0.127
-0.342,-0.94,2.855,LEFT,-0.395
-0.594,-0.804,2.864,LEFT,-0.639
-0.792,-0.611,2.651,LEFT,-0.823
-0.917,-0.398,2.283,LEFT,-0.934
-0.979,-0.202,1.829,LEFT,-0.986
-0.995,-0.102,1.537,RIGHT,-0.997
-1.0,-0.022,0.051,RIGHT,-1.0
-0.999,-0.032,-0.54,NONE,-0.999
-0.991,-0.135,-1.506,NONE,-0.986
-0.945,-0.326,-2.44,NONE,-0.927
-0.814,-0.581,-3.283,NONE,-0.773
-0.555,-0.832,-3.928,NONE,-0.487
-0.175,-0.985,-4.252,NONE,-0.091
0.246,-0.969,-4.174,NONE,0.326
0.602,-0.799,-3.71,NONE,0.658
0.831,-0.556,-2.963,NONE,0.862
0.944,-0.331,-2.06,NONE,0.956
0.984,-0.178,-1.096,NONE,0.987
0.993,-0.119,-0.12,NONE,0.993
0.988,-0.155,0.848,NONE,0.985
0.959,-0.283,1.792,NONE,0.948
0.872,-0.489,2.673,NONE,0.844
0.684,-0.729,3.415,NONE,0.632
0.445,-0.895,3.833,LEFT,0.374
0.04,-0.999,4.538,LEFT,-0.052
-0.417,-0.909,4.805,LEFT,-0.503
-0.787,-0.616,4.654,LEFT,-0.841
-0.976,-0.216,4.229,LEFT,-0.991
-0.984,0.178,3.716,LEFT,-0.968
-0.864,0.503,3.268,LEFT,-0.83
-0.669,0.743,2.981,LEFT,-0.624
-0.426,0.905,2.912,LEFT,-0.373
-0.142,0.99,3.1,RIGHT,-0.081
0.14,0.99,2.575,RIGHT,0.189
0.373,0.928,2.305,RIGHT,0.415
0.571,0.821,2.247,RIGHT,0.607
0.743,0.67,2.37,RIGHT,0.774
0.885,0.465,2.646,RIGHT,0.909
0.98,0.199,3.036,RIGHT,0.99
0.992,-0.125,3.479,RIGHT,0.981
0.881,-0.473,3.871,RIGHT,0.841
0.744,-0.668,4.028,NONE,0.688
0.396,-0.918,4.556,NONE,0.311
-0.058,-0.998,4.68,NONE,-0.15
-0.49,-0.871,4.358,NONE,-0.564
-0.794,-0.608,3.675,NONE,-0.835
-0.946,-0.324,2.779,NONE,-0.962
-0.995,-0.1,1.799,NONE,-0.998
-1.0,0.03,0.807,NONE,-0.999
-0.998,0.062,-0.174,NONE,-0.998
-1.0,-0.005,-1.147,NONE,-1.0
-0.996,-0.091,-1.725,NONE,-0.992
-0.952,-0.306,-2.663,NONE,-0.934
-0.814,-0.581,-3.507,NONE,-0.77
-0.536,-0.844,-4.142,NONE,-0.463
-0.133,-0.991,-4.434,NONE,-0.044
0.303,-0.953,-4.305,NONE,0.383
0.655,-0.755,-3.784,NONE,0.709
0.87,-0.494,-2.992,NONE,0.897
0.897,-0.442,-2.812,RIGHT,0.92
0.98,-0.197,-2.36,RIGHT,0.988
1.0,0.013,-1.865,RIGHT,0.999
0.985,0.174,-1.374,RIGHT,0.98
0.959,0.285,-0.911,RIGHT,0.954
0.937,0.35,-0.476,RIGHT,0.934
0.929,0.37,-0.225,LEFT,0.929
0.946,0.325,1.185,LEFT,0.954
0.99,0.14,2.614,LEFT,0.996
0.982,-0.191,4.056,LEFT,0.962
0.786,-0.619,5.396,LEFT,0.713
0.306,-0.952,6.394,LEFT,0.18
-0.348,-0.937,6.809,LEFT,-0.472
-0.858,-0.513,6.626,LEFT,-0.918
-0.995,0.099,6.121,LEFT,-0.976
-0.773,0.634,5.672,LEFT,-0.697
-0.32,0.947,5.566,LEFT,-0.213
0.244,0.97,5.967,LEFT,0.359
0.775,0.633,6.913,LEFT,0.855
0.997,-0.071,8.246,LEFT,0.972
0.573,-0.82,9.487,LEFT,0.406
-0.364,-0.931,10.003,LEFT,-0.542
-0.978,-0.207,9.685,LEFT,-1.0
-0.743,0.669,9.18,LEFT,-0.609
0.076,0.997,9.237,LEFT,0.259
0.861,0.508,10.133,LEFT,0.947
0.854,-0.52,11.458,LEFT,0.712
-0.169,-0.986,12.227,LEFT,-0.402
-0.983,-0.184,11.958,LEFT,-0.999
-0.554,0.833,11.49,LEFT,-0.35
-0.128,0.992,11.508,RIGHT,0.101
0.844,0.537,11.29,RIGHT,0.942
0.838,-0.546,11.603,RIGHT,0.69
-0.163,-0.987,11.359,RIGHT,-0.379
-0.947,-0.32,10.14,RIGHT,-0.992
-0.82,0.573,8.613,RIGHT,-0.711
-0.158,0.987,7.533,RIGHT,-0.01
0.54,0.842,7.159,RIGHT,0.654
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,NONE,0.0
0.0,-1.0,0.0,LEFT,-0.001
-0.025,-1.0,0.489,LEFT,-0.035
-0.096,-0.995,0.927,LEFT,-0.115
-0.205,-0.979,1.271,LEFT,-0.231
-0.34,-0.941,1.491,LEFT,-0.367
-0.48,-0.877,1.574,LEFT,-0.507
-0.61,-0.792,1.523,LEFT,-0.634
-0.718,-0.696,1.355,LEFT,-0.736
-0.798,-0.602,1.097,LEFT,-0.811
-0.851,-0.525,0.778,LEFT,-0.859
-0.866,-0.501,0.638,RIGHT,-0.871
-0.864,-0.504,-0.715,RIGHT,-0.855
-0.787,-0.617,-2.017,RIGHT,-0.76
-0.601,-0.799,-3.181,RIGHT,-0.547
-0.275,-0.961,-4.085,RIGHT,-0.194
0.159,-0.987,-4.603,RIGHT,0.25
0.587,-0.809,-4.684,RIGHT,0.66
0.884,-0.467,-4.403,RIGHT,0.921
0.998,-0.069,-3.925,RIGHT,1.0
0.956,0.293,-3.42,RIGHT,0.934
0.815,0.58,-3.014,RIGHT,0.779
0.616,0.788,-2.781,RIGHT,0.572
0.379,0.925,-2.762,RIGHT,0.327
0.104,0.995,-2.994,RIGHT,0.043
-0.217,0.976,-3.514,RIGHT,-0.287
-0.573,0.82,-4.36,RIGHT,-0.644
-0.892,0.452,-5.538,RIGHT,-0.938
-1.0,-0.018,-6.644,RIGHT,-0.988
-0.731,-0.683,-7.854,RIGHT,-0.612
0.023,-1.0,-7.854,RIGHT,0.197
0.786,-0.619,-7.854,RIGHT,0.881
0.983,0.182,-7.854,RIGHT,0.94
0.554,0.833,-7.854,RIGHT,0.417
-0.204,0.979,-7.854,RIGHT,-0.36
-0.871,0.491,-7.854,RIGHT,-0.946
-0.896,-0.444,-7.854,RIGHT,-0.783
-0.018,-1.0,-7.854,RIGHT,0.208
0.898,-0.44,-7.854,RIGHT,0.973
0.803,0.595,-7.854,RIGHT,0.66
-0.128,0.992,-7.854,RIGHT,-0.336
-0.945,0.326,-7.854,RIGHT,-0.995
-0.621,-0.784,-7.854,RIGHT,-0.398
0.607,-0.795,-7.854,RIGHT,0.794
0.925,0.379,-7.854,RIGHT,0.8
0.8,0.6,-7.854,RIGHT,0.624
-0.333,0.943,-7.854,RIGHT,-0.562
-0.995,-0.1,-7.854,RIGHT,-0.928
0.0,-1.0,0.0,RIGHT,0.001
0.025,-1.0,-0.489,RIGHT,0.035
0.096,-0.995,-0.927,RIGHT,0.115
0.205,-0.979,-1.271,RIGHT,0.231
