@relation pole_swing_up

@attribute sin_theta numeric
@attribute cos_theta numeric
@attribute theta_d numeric
@attribute force {NONE,RIGHT,LEFT}
@attribute class numeric

@data
0.0,-1.0,0.0,LEFT,0.1
-0.025,-1.0,0.489,LEFT,0.582
-0.096,-0.995,0.927,LEFT,1.004
-0.205,-0.979,1.271,LEFT,1.325
-0.34,-0.941,1.491,LEFT,1.519
-0.48,-0.877,1.574,LEFT,1.574
-0.61,-0.792,1.523,LEFT,1.498
-0.718,-0.696,1.355,LEFT,1.31
-0.798,-0.602,1.097,LEFT,1.038
-0.851,-0.525,0.778,LEFT,0.709
-0.881,-0.473,0.421,LEFT,0.347
-0.892,-0.451,0.048,LEFT,-0.027
-0.886,-0.464,-0.323,LEFT,-0.396
-0.862,-0.507,-0.676,LEFT,-0.743
-0.827,-0.562,-0.932,NONE,-1.091
-0.801,-0.598,-1.248,LEFT,-1.301
-0.712,-0.702,-1.478,LEFT,-1.513
-0.595,-0.804,-1.606,LEFT,-1.617
-0.459,-0.889,-1.607,LEFT,-1.591
-0.315,-0.949,-1.47,LEFT,-1.427
-0.186,-0.983,-1.201,LEFT,-1.132
-0.084,-0.996,-0.82,LEFT,-0.733
-0.025,-1.0,-0.364,LEFT,-0.267
-0.013,-1.0,0.123,LEFT,0.22
-0.049,-0.999,0.593,LEFT,0.681
-0.129,-0.992,1.001,LEFT,1.071
-0.243,-0.97,1.309,LEFT,1.356
-0.377,-0.926,1.491,LEFT,1.512
-0.514,-0.858,1.539,LEFT,1.533
-0.637,-0.771,1.459,LEFT,1.429
-0.736,-0.677,1.27,LEFT,1.221
-0.808,-0.589,0.999,LEFT,0.938
-0.855,-0.519,0.674,LEFT,0.604
-0.867,-0.498,0.533,LEFT,0.462
-0.885,-0.466,0.17,LEFT,0.096
-0.886,-0.465,0.096,LEFT,0.023
-0.881,-0.473,-0.27,LEFT,-0.342
-0.86,-0.511,-0.62,LEFT,-0.687
-0.817,-0.576,-0.936,LEFT,-0.993
-0.75,-0.661,-1.195,LEFT,-1.238
-0.659,-0.752,-1.375,LEFT,-1.399
-0.546,-0.838,-1.453,LEFT,-1.455
-0.42,-0.907,-1.412,LEFT,-1.389
-0.295,-0.955,-1.248,LEFT,-1.201
-0.186,-0.982,-0.971,LEFT,-0.903
-0.107,-0.994,-0.604,LEFT,-0.523
-0.069,-0.998,-0.183,LEFT,-0.096
-0.072,-0.997,0.252,LEFT,0.336
-0.117,-0.993,0.658,LEFT,0.732
-0.2,-0.98,0.996,LEFT,1.053
-0.262,-0.965,1.154,RIGHT,0.999
-0.335,-0.942,0.347,RIGHT,0.181
-0.328,-0.945,-0.483,RIGHT,-0.645
-0.244,-0.97,-1.261,RIGHT,-1.404
-0.086,-0.996,-1.913,RIGHT,-2.022
0.129,-0.992,-2.374,RIGHT,-2.439
0.371,-0.928,-2.604,RIGHT,-2.621
0.599,-0.801,-2.6,RIGHT,-2.573
0.779,-0.627,-2.394,RIGHT,-2.334
0.899,-0.439,-2.045,RIGHT,-1.963
0.963,-0.268,-1.61,RIGHT,-1.517
0.991,-0.133,-1.136,RIGHT,-1.04
0.999,-0.044,-0.651,RIGHT,-0.554
1.0,-0.003,-0.167,RIGHT,-0.071
1.0,-0.01,0.312,RIGHT,0.407
0.998,-0.065,0.786,RIGHT,0.879
0.997,-0.082,0.879,LEFT,1.173
0.971,-0.241,2.331,LEFT,2.615
0.855,-0.519,3.707,LEFT,3.962
0.559,-0.829,4.874,LEFT,5.065
0.064,-0.998,5.639,LEFT,5.729
-0.494,-0.87,5.866,LEFT,5.848
-0.888,-0.459,5.611,LEFT,5.521
-0.998,0.059,5.109,LEFT,5.004
-0.855,0.518,4.635,LEFT,4.563
-0.546,0.838,4.394,LEFT,4.385
-0.47,0.883,4.385,RIGHT,4.192
-0.094,0.996,3.572,RIGHT,3.454
