@relation sin_cos_data
@attribute x numeric
@attribute y numeric
@attribute z numeric
@data
2.76,0.346,1.313
5.901,2.995,-1.362
2.256,2.189,0.195
1.298,-2.414,0.217
1.389,0.886,1.616
0.071,2.394,-0.663
0.784,-2.779,-0.228
0.197,-0.137,1.186
1.762,2.373,0.263
4.799,-2.649,-1.877
1.378,0.746,1.716
0.069,0.866,0.717
3.75,-0.983,-0.017
4.833,-2.775,-1.926
4.215,1.231,-0.545
1.299,1.238,1.29
5.782,2.459,-1.256
4.826,0.063,0.004
5.136,3.131,-1.912
2.702,-1.142,0.841
2.917,2.29,-0.436
4.997,1.707,-1.095
4.154,-0.171,0.137
0.087,0.653,0.881
6.216,-0.986,0.484
3.087,1.066,0.538
4.113,2.092,-1.323
6.064,-2.626,-1.087
1.075,2.151,0.331
5.056,-0.067,0.056
2.744,-0.183,1.37
2.084,-2.152,0.322
2.504,0.882,1.231
3.409,-2.742,-1.186
1.833,0.36,1.902
5.429,0.928,-0.155
2.485,-2.133,0.077
3.0,-1.771,-0.058
2.169,-0.778,1.539
1.916,-1.504,1.008
1.958,-2.604,0.067
6.07,-2.748,-1.135
4.851,-1.892,-1.306
5.59,-2.312,-1.314
1.102,-2.341,0.196
1.805,2.285,0.318
3.346,-1.61,-0.242
5.573,1.779,-0.859
5.376,0.816,-0.102
0.992,-0.059,1.835
2.556,0.175,1.537
1.662,-2.434,0.236
5.812,-0.449,0.447
0.819,1.076,1.205
2.189,0.98,1.372
5.091,-1.332,-0.693
0.438,0.919,1.031
5.231,0.28,0.093
2.666,2.207,-0.136
1.83,0.916,1.575
5.913,-0.964,0.208
1.6,-1.566,1.005
5.427,1.739,-0.923
3.032,2.939,-0.87
3.722,-1.739,-0.716
3.398,0.292,0.704
6.172,2.828,-1.062
0.932,1.53,0.844
5.631,1.581,-0.617
6.232,1.142,0.365
0.019,1.881,-0.287
1.929,-1.348,1.157
3.686,-0.151,0.47
1.497,-2.96,0.014
0.273,1.03,0.784
2.275,1.923,0.418
5.159,-0.874,-0.26
4.947,-1.876,-1.273
4.951,-1.324,-0.727
5.848,2.038,-0.872
2.542,-0.757,1.291
2.541,0.944,1.152
3.862,0.735,0.082
2.852,0.075,1.282
0.471,1.684,0.34
0.209,2.986,-0.781
1.237,2.647,0.065
5.761,2.159,-1.053
3.068,0.749,0.806
1.34,-0.355,1.911
5.335,0.571,0.029
1.663,1.037,1.504
5.052,1.52,-0.892
1.263,-0.327,1.9
0.849,-2.444,-0.016
2.161,-2.881,-0.136
0.068,2.906,-0.904
1.591,2.498,0.2
3.212,-2.885,-1.037
2.844,-0.005,1.293
2.444,-1.293,0.917
4.874,1.746,-1.162
0.124,-2.877,-0.841
5.216,-2.981,-1.863
4.741,0.936,-0.407
1.884,-0.829,1.627
1.925,-1.529,0.98
4.206,2.754,-1.8
2.382,-3.025,-0.305
3.076,2.222,-0.54
3.004,0.538,0.996
3.039,3.077,-0.896
4.576,-1.252,-0.677
4.006,-1.107,-0.313
3.596,1.06,0.05
5.717,-1.157,-0.135
2.62,-1.909,0.167
2.25,-0.684,1.553
4.134,0.734,-0.095
1.754,-2.523,0.169
0.138,2.209,-0.458
2.72,2.65,-0.473
5.244,1.868,-1.155
3.389,-2.836,-1.199
4.081,-2.046,-1.264
0.102,0.719,0.855
4.104,-1.736,-0.985
2.257,-2.651,-0.108
2.516,3.121,-0.414
4.14,-0.523,0.025
4.557,-0.953,-0.409
3.116,1.698,-0.102
0.805,0.074,1.718
5.37,-3.033,-1.786
3.397,-1.178,0.131
4.788,0.094,-0.002
0.846,1.011,1.28
0.436,2.52,-0.391
4.803,2.836,-1.95
1.054,-0.505,1.745
4.382,-0.661,-0.157
2.876,1.305,0.526
3.337,-2.474,-0.98
0.476,-0.876,1.099
3.598,3.059,-1.438
4.554,2.378,-1.71
3.18,-2.864,-1.0
2.814,1.807,0.088
5.473,2.028,-1.165
5.289,2.099,-1.342
4.615,-2.906,-1.968
3.245,-2.234,-0.719
5.948,-0.987,0.223
3.571,-2.09,-0.912
3.431,-0.625,0.526
2.908,-3.015,-0.761
1.242,-2.744,0.025
6.249,0.585,0.8
0.229,0.238,1.199
5.868,-0.675,0.378
5.783,2.202,-1.07
3.477,0.873,0.313
5.616,1.904,-0.946
3.013,0.495,1.008
3.853,2.367,-1.367
1.354,-1.127,1.406
3.708,-1.766,-0.731
1.524,1.601,0.969
2.346,2.705,-0.192
5.158,-1.352,-0.685
1.305,-0.877,1.604
3.046,-2.148,-0.45
1.776,-3.081,-0.019
4.747,-2.118,-1.52
2.635,2.83,-0.467
4.886,-1.023,-0.464
5.81,-0.816,0.229
2.692,-2.397,-0.301
2.468,2.951,-0.358
5.929,-2.766,-1.277
2.702,-0.255,1.393
1.63,2.087,0.505
4.002,-1.06,-0.269
0.489,1.53,0.51
4.357,-0.577,-0.099
0.815,-0.579,1.565
0.395,-0.492,1.266
1.455,0.153,1.982
4.122,-3.101,-1.83
3.193,2.776,-0.985
4.87,-2.79,-1.926
3.727,-1.119,-0.116
5.023,-1.001,-0.413
4.427,1.51,-0.898
2.297,0.961,1.321
1.526,0.123,1.991
1.537,0.107,1.994
6.042,-0.468,0.654
4.581,1.1,-0.538
5.148,-2.391,-1.638
